comment
tuyệt vời
đỉnh cao
hết sẩy
tuyệt hảo
quá chất
xuất sắc
ngon lành
tuyệt cú mèo
mê ly
tuyệt đỉnh
đỉnh của chóp
okela
như mơ
như ý
tuyệt trần
like mạnh
đáng yêu
yêu thích
rất chi là ok
tuyệt vời ông mặt trời
max đỉnh
siêu đẹp
hết ý
số một
cực phẩm
mãn nguyện
hạnh phúc
vui vẻ
sướng rơn
lung linh
thần thánh
đỉnh kout
bao phê
ngon lành cành đào
mê đắm
vừa lòng
đỉnh nhất quả đất
chất phát ngất
tuyệt mỹ
thăng hoa
làm mưa làm gió
hot hit
miễn bàn
không có gì để chê
quá tuyệt
siêu phẩm
đỉnh của đỉnh
thiên đường
cảm ơn nhiều
yêu lắm
thật tuyệt
Thích
vui vẻ
vui
yum yum
yummi
10đ
hay
Yêu
Thương
Quý
Mến
Cảm thông
Đồng cảm
Vui
Hạnh phúc
Sung sướng
Niềm nở
Hào hứng
Tự hào
Tin tưởng
Trung thực
Thành thật
Biết ơn
Tốt
Hiền
Lành
Ngoan
Khéo
Giỏi
Thông minh
Sáng tạo
Năng động
Chăm chỉ
Kiên trì
Dũng cảm
Cần cù
Trung thành
Khiêm tốn
Lịch sự
Đẹp
Xinh
Duyên dáng
Lộng lẫy
Rực rỡ
Tuyệt vời
Hoàn hảo
Tinh tế
Sang trọng
Tiến bộ
Phát triển
Thành công
Thắng lợi
Vượt qua
Khỏe mạnh
Cải thiện
Nâng cao
May mắn
Cơ hội
Thuận lợi
Thành công
bình thường
ổn
không có ý kiến
trung lập
đúng
được
hợp lý
tương đối
chấp nhận được
vừa vừa
không tệ
không tốt
đủ
không sao
khá ổn
được rồi
tàm tạm
không đặc biệt
không khác biệt
như vậy
như cũ
vừa phải
không thay đổi
ổn định
bình dị
nhẹ nhàng
không vấn đề
không có gì mới
không nổi bật
không có gì đặc sắc
không xấu
không hay
vừa đủ
vừa ý
trung bình
đồng ý
cân bằng
không rõ ràng
mid
vibe
flex
glow up
bet
cap
high-key
low-key
